ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
13,Georgia,GA,13009,Baldwin County,13009,"Baldwin County, Georgia",258.6991725,43778,0,20092,43,15853,517,12129,1077,1260,315,4260,594,4046,550,5089,897,7215,106,8243,155,6425,681,1688,391,197,133,21032,54,964,252,4269,489,414,176,1085,221,5121,73,31,2.7,7,1.8,26.9,3.6,14.5,2,12.3,2.2,16.5,0.2,18.8,0.4,15.6,1.6,10.7,2.4,0.5,0.3,48,0.1,4.8,1.3,21.2,2.4,2.6,1.1,6.8,1.4,11.7,0.2,0.8113,0.8476,0.8444,0.7381,0.7633,4.0047,0.9357,0.2358,0.1616,0.49,0.9599,0.377,2.2243,0.3363,0.86,0.86,0.86,0.6694,0.8323,0.7019,0.6949,0.9516,3.8501,0.9908,10.9391,0.923,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,46921,2443,353,18171,267,1161,0,695,129,50,26,59,103,846,302,50,46,15.4,2.1,41.5,0.6,2.7,0,1.6,0.3,0.1,0.1,0.1,0.2,1.9,0.7,0.1,0.1
13,Georgia,GA,13011,Banks County,13011,"Banks County, Georgia",232.616392,18381,0,7308,58,6667,168,4138,669,214,87,1452,262,2665,339,2509,493,3107,62,3958,145,3473,485,233,94,196,114,2515,29,86,87,1763,261,101,50,166,56,0,23,22.6,3.7,2.5,1,21.8,3.9,20.6,2.6,13.7,2.7,16.9,0.3,21.5,0.8,18.9,2.6,3.5,1.4,1.1,0.7,13.7,0.2,1.2,1.2,24.1,3.6,1.5,0.7,2.5,0.8,0,0.1,0.4776,0.1149,0.5177,0.931,0.8221,2.8633,0.6207,0.2663,0.4263,0.7496,0.1339,0.6131,2.1892,0.3096,0.3961,0.3961,0.3961,0.2141,0.8823,0.3608,0.0697,0,1.5269,0.1015,6.9755,0.3373,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12250,1061,206,537,188,1409,0,247,160,17,25,0,23,305,137,0,23,15.9,3.1,2.9,1,7.7,0,1.3,0.9,0.1,0.1,0,0.3,1.7,0.7,0,0.3
13,Georgia,GA,13013,Barrow County,13013,"Barrow County, Georgia",161.0365519,84399,0,30357,41,28781,317,16022,1416,1743,400,6632,652,6908,618,13544,894,10667,59,21481,0,11059,801,2358,413,2077,315,28130,470,507,179,2041,261,650,183,982,298,282,9,19.1,1.7,4,0.9,23,2.3,12.4,1.1,16.1,1.1,12.6,0.1,25.5,0,13.1,1,8.2,1.4,2.6,0.4,33.3,0.6,1.6,0.6,6.7,0.9,2.2,0.6,3.4,1,0.3,0,0.3019,0.3509,0.6157,0.6246,0.8928,2.7859,0.5956,0.0461,0.8864,0.259,0.8686,0.8295,2.8896,0.7738,0.7066,0.7066,0.7066,0.2867,0.3455,0.6083,0.1693,0.0229,1.4327,0.0799,7.8148,0.4887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65004,2117,319,10480,382,11133,0,3494,118,110,58,10,19,2714,556,189,168,7.4,1.1,12.4,0.5,13.2,0,4.1,0.1,0.1,0.1,0,0.1,3.2,0.7,0.2,0.2
13,Georgia,GA,13015,Bartow County,13015,"Bartow County, Georgia",458.9088225,109410,0,42731,43,38429,604,21062,2021,3009,635,8431,927,8874,830,15025,1358,15517,174,25821,27,12924,1123,2364,538,1448,439,27143,700,1630,374,4168,521,612,188,1181,256,1040,18,19.5,1.9,5.5,1.1,21.9,2.4,12.1,1.1,13.9,1.3,14.2,0.2,23.6,0.1,11.9,1,6.2,1.4,1.4,0.4,24.8,0.6,3.9,0.9,9.8,1.2,1.6,0.5,3.1,0.7,1,0,0.322,0.6583,0.5288,0.6071,0.8326,2.9488,0.6529,0.105,0.7245,0.1619,0.6408,0.6834,2.3156,0.3964,0.6045,0.6045,0.6045,0.5921,0.4913,0.3933,0.1301,0.1403,1.7471,0.1623,7.616,0.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104787,7068,788,11530,482,10489,0,1204,222,48,39,126,34,2753,515,993,711,18.4,2.1,10.5,0.4,9.6,0,1.1,0.2,0,0.1,0.1,0.1,2.5,0.5,0.9,0.6
13,Georgia,GA,13017,Ben Hill County,13017,"Ben Hill County, Georgia",250.1176953,17169,0,8122,24,7126,279,6483,803,370,149,1540,344,1870,358,3120,636,3042,26,4215,0,2018,394,851,245,124,135,7819,23,230,120,1737,236,271,183,716,209,328,5,38.7,4.8,5,2,21.6,4.8,16.3,3.1,18.6,3.8,17.7,0.2,24.6,0,12,2.4,12,3.4,0.8,0.8,45.5,0.1,2.9,1.5,21.4,2.9,3.8,2.6,10,2.9,1.9,0,0.9475,0.5603,0.5002,0.8097,0.9415,3.7592,0.8918,0.3331,0.8269,0.1705,0.9774,0.518,2.8259,0.7378,0.8365,0.8365,0.8365,0.4804,0.8355,0.8587,0.9205,0.462,3.5571,0.9535,10.9787,0.9265,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4,17644,2459,386,6411,197,1121,0,63,63,0,23,0,23,201,172,23,51,34.5,5.2,37.3,1.1,6.5,0,0.4,0.4,0,0.3,0,0.3,1.2,1,0.1,0.3
13,Georgia,GA,13019,Berrien County,13019,"Berrien County, Georgia",453.3762465,18187,0,8059,27,6773,237,6449,810,351,129,1331,266,2325,332,3902,523,3219,68,4362,45,3096,387,536,160,95,99,3614,79,11,28,2631,342,113,66,259,111,184,5,35.9,4.5,4.6,1.8,19.7,3.9,18.7,2.7,21.8,2.9,17.7,0.4,24,0.2,17.3,2.2,7.9,2.3,0.6,0.6,19.9,0.4,0.1,0.3,32.6,4.2,1.7,1,3.8,1.6,1,0,0.9138,0.4738,0.3388,0.8877,0.9739,3.588,0.8406,0.3331,0.7763,0.6341,0.8422,0.4349,3.0206,0.8406,0.5269,0.5269,0.5269,0.0309,0.9637,0.4311,0.2208,0.1403,1.7868,0.1769,8.9223,0.6748,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,14179,1665,301,1869,140,1030,0,194,81,0,23,27,45,494,180,0,23,24.6,4.2,10.3,0.8,5.7,0,1.1,0.4,0,0.3,0.1,0.2,2.7,1,0,0.3
13,Georgia,GA,13021,Bibb County,13021,"Bibb County, Georgia",249.3825532,156554,0,71828,76,59480,834,51903,3057,5286,698,20466,1217,13878,1040,21259,1532,25285,169,37914,0,24430,1258,6711,684,1501,418,100249,500,8336,729,1994,364,1038,301,6867,777,6019,129,34.6,2,7.5,1,34.4,2,13.5,1,13.9,1,16.2,0.1,24.2,0,15.9,0.8,11.3,1.1,1,0.3,64,0.3,11.6,1,2.8,0.5,1.8,0.5,11.5,1.3,3.8,0.1,0.8902,0.8855,0.986,0.6831,0.8326,4.2774,0.9739,0.21,0.7964,0.5142,0.9701,0.5861,3.0768,0.8619,0.9399,0.9399,0.9399,0.8963,0.1308,0.4712,0.9564,0.741,3.1957,0.8422,11.4898,0.9644,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,4,183055,9568,716,84745,927,5853,0,3373,168,73,44,39,39,4934,863,1232,559,16.1,1.2,54.1,0.6,3.7,0,2.2,0.1,0,0.1,0,0.1,3.2,0.6,0.8,0.4
13,Georgia,GA,13023,Bleckley County,13023,"Bleckley County, Georgia",215.8781711,12413,0,5215,34,4223,205,3013,529,324,160,884,209,984,282,1108,320,2140,107,2375,62,2393,390,602,169,60,109,3907,27,59,51,1328,244,71,61,170,91,1233,30,27,4.7,6.1,3,20.9,4.8,12.1,3.4,9.2,2.7,17.2,0.9,19.1,0.5,19.9,3.3,14.2,3.9,0.5,0.9,31.5,0.2,1.1,1,25.5,4.7,1.7,1.4,4,2.1,9.9,0.2,0.6774,0.7544,0.4413,0.6071,0.566,3.0462,0.686,0.293,0.1861,0.805,0.9936,0.377,2.6547,0.6363,0.686,0.686,0.686,0.1969,0.8995,0.4311,0.2491,0.9345,2.7111,0.6134,9.098,0.7063,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,12879,1152,233,3252,36,425,0,116,70,0,23,0,23,114,85,0,23,27.3,5.1,26.2,0.3,3.4,0,0.9,0.6,0,0.4,0,0.4,0.9,0.7,0,0.4
13,Georgia,GA,13025,Brantley County,13025,"Brantley County, Georgia",443.2343848,18105,0,8173,31,6649,332,5700,812,238,138,1408,312,2569,525,2866,414,2994,65,4089,192,2921,603,228,129,26,93,1632,76,0,32,4340,423,95,88,434,183,75,6,31.7,4.5,3.3,1.9,21.2,4.6,20.4,4.2,15.9,2.3,16.5,0.4,22.6,1.1,16.2,3.3,3.5,1.9,0.2,0.5,9,0.4,0,0.4,53.1,5.2,1.5,1.3,6.5,2.8,0.4,0,0.8282,0.2208,0.4693,0.9265,0.8886,3.3334,0.7763,0.2358,0.587,0.5406,0.1339,0.1661,1.6634,0.0738,0.2485,0.2485,0.2485,0,0.999,0.3608,0.6605,0.0293,2.0496,0.2733,7.2949,0.3974,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,12937,1818,334,667,203,474,0,126,173,0,23,0,23,365,221,0,23,27.3,4.7,3.7,1.1,2.6,0,0.7,1,0,0.3,0,0.3,2,1.2,0,0.3
13,Georgia,GA,13027,Brooks County,13027,"Brooks County, Georgia",493.184021,16275,0,7324,15,5957,276,6807,799,340,147,1776,312,1997,396,2979,539,3203,98,3505,36,2733,356,478,150,98,128,7566,251,294,178,2144,279,125,82,431,149,183,8,42.2,5,4.9,2,29.8,5.1,17.5,3.5,18.5,3.3,19.7,0.6,21.5,0.2,17,2.2,8,2.5,0.6,0.8,46.5,1.5,4,2.4,29.3,3.8,2.1,1.4,7.2,2.4,1.1,0,0.973,0.5393,0.9329,0.847,0.9405,4.2327,0.9704,0.5348,0.4263,0.6134,0.8527,0.4349,2.8621,0.7611,0.8492,0.8492,0.8492,0.6004,0.9383,0.5759,0.7461,0.1798,3.0405,0.7741,10.9845,0.9275,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,11760,2034,307,5610,232,1238,0,105,113,6,12,0,23,399,198,208,250,34.1,5.1,34.5,1.4,7.6,0,0.6,0.7,0,0.1,0,0.3,2.5,1.2,1.3,1.5
